Start Time,End Time,Transportation Mode
2008/05/20 09:39:00,2008/05/20 09:56:00,bus
2008/05/20 12:15:00,2008/05/20 12:25:00,bus
2008/05/20 12:25:00,2008/05/20 14:15:00,walk
2008/05/20 14:15:00,2008/05/20 14:23:00,taxi
2008/05/21 03:24:00,2008/05/21 03:35:00,bus
2008/05/21 03:35:00,2008/05/21 07:25:00,walk
2008/05/21 07:26:00,2008/05/21 07:35:00,bus
2008/05/21 10:10:00,2008/05/21 10:36:00,bus
2008/05/21 10:36:00,2008/05/21 11:25:00,subway
2008/05/21 11:25:00,2008/05/21 12:35:00,walk
2008/05/21 12:35:00,2008/05/21 12:38:00,bus
2008/05/21 12:38:00,2008/05/21 13:50:00,walk
2008/05/21 13:50:00,2008/05/21 14:35:00,bus
2008/05/22 09:00:00,2008/05/22 09:10:50,bus
2008/05/22 09:10:50,2008/05/22 10:00:00,walk
2008/05/22 10:00:00,2008/05/22 10:39:40,bus
2008/05/23 04:45:00,2008/05/23 05:10:16,bus
2008/05/23 05:10:16,2008/05/23 06:44:34,walk
2008/05/23 06:44:34,2008/05/23 06:56:20,bus
2008/05/25 05:31:29,2008/05/25 05:41:05,bus
2008/05/25 05:41:05,2008/05/25 09:02:57,walk
2008/05/25 09:02:57,2008/05/25 09:34:57,bus
2008/05/25 09:34:57,2008/05/25 10:51:49,walk
2008/05/25 10:51:49,2008/05/25 11:28:39,bus
2008/05/25 11:28:39,2008/05/25 12:58:31,walk
2008/05/25 12:58:31,2008/05/25 13:08:51,bus
2008/05/25 16:44:57,2008/05/25 17:01:59,taxi
2008/05/26 12:40:07,2008/05/26 12:51:37,bus
2008/05/27 07:44:52,2008/05/27 08:57:23,bus
2008/05/27 08:57:23,2008/05/27 10:15:27,walk
2008/05/27 10:15:27,2008/05/27 11:35:07,bus
2008/05/28 09:23:35,2008/05/28 09:50:06,bus
2008/05/28 09:50:06,2008/05/28 11:34:20,walk
2008/05/28 11:34:20,2008/05/28 11:45:22,bus
2008/05/28 11:45:22,2008/05/28 12:10:00,walk
2008/05/29 06:43:53,2008/05/29 06:51:15,bus
2008/05/29 06:51:15,2008/05/29 07:30:00,walk
2008/05/29 07:30:00,2008/05/29 08:00:00,bus
