,Lat,Long,-,Alt,dayNo,Date,Time,datetime,Transportation Mode,x,y
0,39.935266,116.431839,0,211,39791.5305439815,2008-12-09,12:43:59,2008-12-09 12:43:59,car,8046.106871018585,-4582.012671495634
1,39.935116,116.431842,0,162,39791.5306018519,2008-12-09,12:44:04,2008-12-09 12:44:04,car,8046.362433667969,-4598.68767893769
2,39.935136,116.43186,0,164,39791.5306597222,2008-12-09,12:44:09,2008-12-09 12:44:09,car,8047.895809557726,-4596.464344595765
3,39.93510300000001,116.431861,0,173,39791.5307175926,2008-12-09,12:44:14,2008-12-09 12:44:14,car,8047.980997105348,-4600.132846261589
4,39.935131,116.431843,0,189,39791.530775463,2008-12-09,12:44:19,2008-12-09 12:44:19,car,8046.447621215596,-4597.020178180944
5,39.935149,116.431834,0,196,39791.5308333333,2008-12-09,12:44:24,2008-12-09 12:44:24,car,8045.680933271774,-4595.0191772759445
6,39.93518,116.431839,0,199,39791.5308912037,2008-12-09,12:44:29,2008-12-09 12:44:29,car,8046.106871018585,-4591.573009060431
7,39.935151,116.43184,0,192,39791.5309490741,2008-12-09,12:44:34,2008-12-09 12:44:34,car,8046.19205856838,-4594.796843842862
8,39.935123,116.431851,0,183,39791.5310069444,2008-12-09,12:44:39,2008-12-09 12:44:39,car,8047.129121611773,-4597.909511917752
9,39.935107,116.431844,0,184,39791.5310648148,2008-12-09,12:44:44,2008-12-09 12:44:44,car,8046.53280876539,-4599.688179393826
10,39.935087,116.431832,0,186,39791.5311226852,2008-12-09,12:44:49,2008-12-09 12:44:49,car,8045.51055817218,-4601.911513743176
11,39.935087,116.431832,0,186,39791.5311574074,2008-12-09,12:44:52,2008-12-09 12:44:52,car,8045.51055817218,-4601.911513743176
12,39.93509,116.431835,0,186,39791.5311805556,2008-12-09,12:44:54,2008-12-09 12:44:54,car,8045.7661208215695,-4601.578013590483
13,39.935062,116.431832,0,183,39791.5312384259,2008-12-09,12:44:59,2008-12-09 12:44:59,car,8045.51055817218,-4604.690681687951
14,39.935099,116.431841,0,184,39791.5312962963,2008-12-09,12:45:04,2008-12-09 12:45:04,car,8046.277246118176,-4600.577513133094
