,Length (s),Trajectory Path
0,29888,000/Trajectory/Unlabelled/20081023025304.csv
1,2227,000/Trajectory/Unlabelled/20081024020959.csv
2,4800,000/Trajectory/Unlabelled/20081026134407.csv
3,665,000/Trajectory/Unlabelled/20081027115449.csv
4,15916,000/Trajectory/Unlabelled/20081028003826.csv
5,530,000/Trajectory/Unlabelled/20081029092138.csv
6,965,000/Trajectory/Unlabelled/20081029093038.csv
7,145,000/Trajectory/Unlabelled/20081103101336.csv
8,14955,000/Trajectory/Unlabelled/20081103232153.csv
9,7775,000/Trajectory/Unlabelled/20081110013637.csv
10,8330,000/Trajectory/Unlabelled/20081111001704.csv
11,9551,000/Trajectory/Unlabelled/20081112023003.csv
12,130,000/Trajectory/Unlabelled/20081112091400.csv
13,37523,000/Trajectory/Unlabelled/20081113034608.csv
14,18923,000/Trajectory/Unlabelled/20081114015255.csv
15,22534,000/Trajectory/Unlabelled/20081114101436.csv
16,11292,000/Trajectory/Unlabelled/20081115010133.csv
17,55,000/Trajectory/Unlabelled/20081116085532.csv
18,420,000/Trajectory/Unlabelled/20081117051133.csv
19,1515,000/Trajectory/Unlabelled/20081117155223.csv
20,230,000/Trajectory/Unlabelled/20081118095005.csv
21,6936,000/Trajectory/Unlabelled/20081118095400.csv
22,30,000/Trajectory/Unlabelled/20081118162008.csv
23,390,000/Trajectory/Unlabelled/20081119012806.csv
24,8961,000/Trajectory/Unlabelled/20081119112035.csv
25,655,000/Trajectory/Unlabelled/20081120035736.csv
26,30,000/Trajectory/Unlabelled/20081121040936.csv
27,200,000/Trajectory/Unlabelled/20081121113038.csv
28,16411,000/Trajectory/Unlabelled/20081122012309.csv
29,495,000/Trajectory/Unlabelled/20081123102153.csv
30,1008,000/Trajectory/Unlabelled/20081201111827.csv
31,230,000/Trajectory/Unlabelled/20081202071136.csv
32,32183,000/Trajectory/Unlabelled/20081202071531.csv
33,430,000/Trajectory/Unlabelled/20081203032326.csv
34,2539,000/Trajectory/Unlabelled/20081203151206.csv
35,645,000/Trajectory/Unlabelled/20081203234939.csv
36,19659,000/Trajectory/Unlabelled/20081210023503.csv
37,15,000/Trajectory/Unlabelled/20081211044624.csv
38,600,000/Trajectory/Unlabelled/20081211121432.csv
39,8242,000/Trajectory/Unlabelled/20081212042525.csv
40,595,000/Trajectory/Unlabelled/20081212101236.csv
41,835,000/Trajectory/Unlabelled/20081214011036.csv
42,55138,000/Trajectory/Unlabelled/20090330005208.csv
43,39166,000/Trajectory/Unlabelled/20090331003904.csv
44,19536,000/Trajectory/Unlabelled/20090401050607.csv
45,120,000/Trajectory/Unlabelled/20090401202331.csv
46,34311,000/Trajectory/Unlabelled/20090402060732.csv
47,47892,000/Trajectory/Unlabelled/20090403011657.csv
48,31240,000/Trajectory/Unlabelled/20090405051938.csv
49,29300,000/Trajectory/Unlabelled/20090406023702.csv
50,650,000/Trajectory/Unlabelled/20090409182800.csv
51,53638,000/Trajectory/Unlabelled/20090410021935.csv
52,43222,000/Trajectory/Unlabelled/20090411052358.csv
53,615,000/Trajectory/Unlabelled/20090412004905.csv
54,35516,000/Trajectory/Unlabelled/20090412073303.csv
55,32477,000/Trajectory/Unlabelled/20090413050806.csv
56,476,000/Trajectory/Unlabelled/20090413144632.csv
57,58381,000/Trajectory/Unlabelled/20090413213935.csv
58,1575,000/Trajectory/Unlabelled/20090415000406.csv
59,10957,000/Trajectory/Unlabelled/20090415074008.csv
60,54910,000/Trajectory/Unlabelled/20090416002705.csv
61,34862,000/Trajectory/Unlabelled/20090417002430.csv
62,865,000/Trajectory/Unlabelled/20090418172238.csv
63,40836,000/Trajectory/Unlabelled/20090419005226.csv
64,1595,000/Trajectory/Unlabelled/20090419175500.csv
